City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
202,Chhuikhadan,IN,2021-12-28 08:33:10,21.5333,80.9833,82.4,34,69,7.25,broken clouds
203,Murray Bridge,AU,2021-12-28 08:33:10,-35.1167,139.2667,79.68,63,0,18.3,clear sky
204,Nara,JP,2021-12-28 08:33:11,34.6851,135.8049,47.48,48,58,1.77,broken clouds
205,Periyanayakkanpalaiyam,IN,2021-12-28 08:33:11,11.15,76.9333,83.79,39,40,11.5,haze
206,Bajil,YE,2021-12-28 08:33:12,15.0584,43.2851,85.08,50,3,5.14,clear sky
207,Trofors,NO,2021-12-28 08:33:12,65.5333,13.4063,29.66,90,100,4.25,overcast clouds
208,Cantaura,VE,2021-12-28 08:33:12,9.3057,-64.3584,70.27,91,100,7.9,overcast clouds
209,Kieta,PG,2021-12-28 08:33:13,-6.2167,155.6333,81.54,81,99,1.77,light rain
210,Baghdad,IQ,2021-12-28 08:29:21,33.3406,44.4009,53.51,40,0,8.05,clear sky
211,Dubrovnik,HR,2021-12-28 08:33:13,42.6481,18.0922,57.63,62,0,6.91,clear sky
212,Yulara,AU,2021-12-28 08:33:14,-25.2406,130.9889,98.44,9,0,11.5,clear sky
213,Uvalde,US,2021-12-28 08:33:14,29.3669,-99.767,64.58,79,90,5.75,heavy intensity drizzle
214,Ulladulla,AU,2021-12-28 08:33:15,-35.35,150.4667,63.5,67,47,5.17,scattered clouds
215,Airai,TL,2021-12-28 08:33:15,-8.9266,125.4092,67.68,80,75,2.95,broken clouds
216,Road Town,VG,2021-12-28 08:30:01,18.4167,-64.6167,77.0,69,0,16.22,clear sky
217,Ventspils,LV,2021-12-28 08:33:16,57.3894,21.5606,13.93,85,0,6.91,clear sky
218,Turukhansk,RU,2021-12-28 08:33:16,65.8167,87.9833,0.37,82,100,20.11,overcast clouds
219,Kompaniyivka,UA,2021-12-28 08:33:17,48.2511,32.208,22.95,95,100,18.5,snow
220,Kamenka,RU,2021-12-28 08:33:17,51.3223,42.7678,5.76,91,71,1.79,broken clouds
221,Chuy,UY,2021-12-28 08:33:17,-33.6971,-53.4616,58.66,90,0,3.51,clear sky
222,Khatanga,RU,2021-12-28 08:33:18,71.9667,102.5,-25.44,100,70,5.44,broken clouds
223,Cabo San Lucas,MX,2021-12-28 08:33:18,22.8909,-109.9124,65.61,68,99,10.67,overcast clouds
224,Odweyne,SO,2021-12-28 08:33:19,9.4092,45.064,81.63,20,76,5.61,broken clouds
225,Vyartsilya,RU,2021-12-28 08:33:19,62.1764,30.693,9.01,97,91,4.09,light snow
226,Coihaique,CL,2021-12-28 08:33:20,-45.5752,-72.0662,47.01,98,9,5.03,clear sky
227,Newtonmore,GB,2021-12-28 08:33:20,57.066,-4.1192,38.03,92,100,3.74,overcast clouds
228,Arraial Do Cabo,BR,2021-12-28 08:33:20,-22.9661,-42.0278,67.96,85,40,0.0,scattered clouds
229,Ajdabiya,LY,2021-12-28 08:33:21,30.7554,20.2263,61.43,38,60,14.74,broken clouds
230,Macheng,CN,2021-12-28 08:33:21,31.1783,115.0319,44.4,30,5,4.07,clear sky
231,Yar-Sale,RU,2021-12-28 08:34:22,66.8333,70.8333,2.08,97,100,9.28,overcast clouds
232,Sisimiut,GL,2021-12-28 08:34:22,66.9395,-53.6735,13.19,83,98,5.7,overcast clouds
233,Port Blair,IN,2021-12-28 08:34:23,11.6667,92.75,82.51,69,19,17.05,few clouds
234,Makakilo City,US,2021-12-28 08:34:23,21.3469,-158.0858,73.72,70,1,5.75,clear sky
235,Boende,CD,2021-12-28 08:34:24,-0.2167,20.8667,72.32,94,100,5.57,moderate rain
236,Marawi,PH,2021-12-28 08:34:24,7.9986,124.2928,70.65,94,100,4.32,moderate rain
237,Mercedes,AR,2021-12-28 08:34:25,-34.6515,-59.4307,72.86,57,29,9.37,scattered clouds
238,Healdsburg,US,2021-12-28 08:34:25,38.6105,-122.8692,40.93,84,1,5.99,clear sky
239,Mujiayingzi,CN,2021-12-28 08:34:25,42.1167,118.7833,22.33,30,0,8.46,clear sky
240,Eyl,SO,2021-12-28 08:34:26,7.9803,49.8164,83.05,50,86,19.42,overcast clouds
241,Masuguru,TZ,2021-12-28 08:34:26,-11.3667,38.4167,97.03,23,100,4.94,overcast clouds
242,Zeya,RU,2021-12-28 08:34:27,53.75,127.2667,-15.81,93,98,2.98,overcast clouds
243,Bafang,CM,2021-12-28 08:34:27,5.1563,10.1788,78.04,42,100,2.28,overcast clouds
244,Ancud,CL,2021-12-28 08:34:28,-41.8697,-73.8203,54.93,94,99,3.65,overcast clouds
245,Ortakoy,TR,2021-12-28 08:34:28,38.7373,34.0387,35.85,85,100,3.38,overcast clouds
246,Cidreira,BR,2021-12-28 08:34:28,-30.1811,-50.2056,69.66,81,0,1.74,clear sky
247,Jijiga,ET,2021-12-28 08:34:29,9.35,42.8,74.77,28,99,1.7,overcast clouds
248,La Romana,DO,2021-12-28 08:34:29,18.4273,-68.9728,76.73,88,8,7.47,clear sky
249,Auki,SB,2021-12-28 08:34:30,-8.7676,160.7034,80.58,82,100,5.3,light rain
250,Ponta Do Sol,PT,2021-12-28 08:34:30,32.6667,-17.1,67.01,77,0,5.12,clear sky
251,Skalat,UA,2021-12-28 08:34:30,49.4273,25.9787,23.88,94,100,10.16,light snow
252,Lakatoro,VU,2021-12-28 08:34:31,-16.0999,167.4164,83.16,80,63,5.19,broken clouds
253,Ukiah,US,2021-12-28 08:34:31,39.1502,-123.2078,37.83,91,90,0.0,overcast clouds
254,Lyubim,RU,2021-12-28 08:34:32,58.3625,40.6843,6.89,95,81,6.87,broken clouds
255,Puerto Baquerizo Moreno,EC,2021-12-28 08:34:32,-0.9,-89.6,69.13,82,74,9.51,broken clouds
256,Klaksvik,FO,2021-12-28 08:34:33,62.2266,-6.589,38.32,91,99,8.79,overcast clouds
257,Mattru,SL,2021-12-28 08:34:33,7.6244,-11.8332,79.79,73,100,1.66,overcast clouds
258,Key West,US,2021-12-28 08:30:00,24.5557,-81.7826,75.0,73,1,9.22,clear sky
259,Hit,IQ,2021-12-28 08:34:34,33.6416,42.8251,55.96,34,68,2.35,broken clouds
260,Lipari,IT,2021-12-28 08:34:34,38.4674,14.954,61.54,77,26,29.53,scattered clouds
